"Rental contract has already been signed on  %1. You may update the signature below.","Le contrat de location a déjà été signé le 1%. Vous pouvez mettre à jour la signature ci-dessous."
"Signature has been saved to the rental contract","Signature a été sauvegardé dans le contrat de location"
"Sign Contract","signent un contrat"
"View Contract","Voir le contrat"
"Client First Name","Client First Name"
"Client Last Name","Nom du client"
"Name:","Prénom:"
"Signed on:","Signé sur:"
"Rental Contract","Contrat de location"
"By signing below you are agreeing to the terms of the Rental Contract.","En signant ci-dessous, vous acceptez les termes du contrat de location."
"Sign Above","Inscrivez-dessus"
"Name: ","Prénom:"
"Clear","Clair"
"Name","prénom"
"Signed on","Signée"
"Sign Rental Contract","Inscrivez contrat de location"
"Save","sauvegarder"
"Cancel","Annuler"
"Please provide signature first.","S&#39;il vous plaît fournir la première signature."
"Please type in your name below the signature field to confirm agreement.","S&#39;il vous plaît saisir votre nom en dessous du champ de signature pour confirmer l&#39;accord."
"Rental Contracts","contrats de location"
"Rental Contract Title","Contrat de location Titre"
"Terms and conditions to include in rental contract","Termes et conditions à inclure dans le contrat de location"
"Custom header text to include in the contract","texte d&#39;en-tête personnalisé à inclure dans le contrat"
"Custom footer text to include in the contract","pied de page personnalisé à inclure dans le contrat"
"Show rental contract signing and attach contract even if order contains no rental products?","Afficher la location signature du contrat et joindre contrat, même si l&#39;ordre ne contient pas de produits de location?"
"Include list of items in the contract","liste des éléments dans le contrat Inclure"
"Include manual hard copy signature field","Inclure champ de signature de copie papier manuel"
"Show rental contract link and enable digital signatures in customer view order area","Montrer location lien contractuel et activer les signatures numériques dans la vue client zone de commande"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Cela montrera dans la zone Mes commandes un lien &quot;contrat de location&quot; qui permet aux clients de télécharger un contrat de location et de signer numériquement en utilisant leur souris ou écran tactile"
"Require rental contract signature for checkout","Exiger location signature du contrat pour la caisse"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Cela montrera à la caisse examiner un champ de signature et le client est tenu de signer de procéder et passer la commande"
"Attach Contract PDF to order emails?","Joindre PDF du contrat pour commander des e-mails?"
