"Rental contract has already been signed on  %1. You may update the signature below.","חוזה שכיר שכבר נחתם על% 1. אתה רשאי לעדכן את החתימה להלן."
"Signature has been saved to the rental contract","חתימה נשמרה חוזה השכירות"
"Sign Contract","חוזה היכנס"
"View Contract","צג חוזה"
"Client First Name","שם הלקוח הראשון"
"Client Last Name","שם לקוח אחרון"
"Name:","שֵׁם:"
"Signed on:","חתום על:"
"Rental Contract","חוֹזֶה הַשׂכָּרָה"
"By signing below you are agreeing to the terms of the Rental Contract.","על ידי חתימה למטה, אתה מסכים לתנאים של חוזה ההשכרה."
"Sign Above","שלט מעל"
"Name: ","שֵׁם:"
"Clear","ברור"
"Name","שֵׁם"
"Signed on","חתום על"
"Sign Rental Contract","הרשמת חוזה השכרה"
"Save","להציל"
"Cancel","לְבַטֵל"
"Please provide signature first.","נא לספק חתימה ראשונה."
"Please type in your name below the signature field to confirm agreement.","אנא הקלד את שמך מתחת לשדה החתימה כדי לאשר הסכם."
"Rental Contracts","חוזי שכירות"
"Rental Contract Title","כותרת חוזה השכרה"
"Terms and conditions to include in rental contract","תנאי שימוש באתר לכלול בחוזה שכיר"
"Custom header text to include in the contract","טקסט כותרת מותאם אישית לכלול בחוזה"
"Custom footer text to include in the contract","טקסט תחתון מותאם אישית לכלול בחוזה"
"Show rental contract signing and attach contract even if order contains no rental products?","צג חתימת חוזה שכירות ולצרף חוזה גם אם סדר אינו מכיל מוצרי שכירות?"
"Include list of items in the contract","כלול ברשימת הפריטים בחוזה"
"Include manual hard copy signature field","כלול שדה חתימת תדפיס ידני"
"Show rental contract link and enable digital signatures in customer view order area","צג קישור חוזה שכירות ולאפשר חתימות דיגיטליות בתחום צג הזמנה ללקוח"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","זה ייראה באזור ההזמנות שלי קישור &quot;חוזה השכרה&quot; המאפשר ללקוחות להוריד חוזה שכירות ולחתום אותו דיגיטלי באמצעות העכבר או מסך המגע שלהם"
"Require rental contract signature for checkout","דרוש חתימת חוזה שכירה עבור לקוחות"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","זה יראה על הלקוחות לבדוק בשדה חתימה הלקוח נדרש לחתום כדי להמשיך והניח את המוצר"
"Attach Contract PDF to order emails?","צרף PDF חוזה להורות מיילים?"
