"Rental contract has already been signed on  %1. You may update the signature below.","Huurcontract is al ondertekend op 1%. Je kan de handtekening onder te werken."
"Signature has been saved to the rental contract","Signature is opgeslagen in het huurcontract"
"Sign Contract","Teken contract"
"View Contract","Bekijk Contract"
"Client First Name","Client Voornaam"
"Client Last Name","Client Achternaam"
"Name:","Naam:"
"Signed on:","Ondertekend op:"
"Rental Contract","Huurcontract"
"By signing below you are agreeing to the terms of the Rental Contract.","Door de ondertekening van onderstaande gaat u akkoord met de voorwaarden van het huurcontract."
"Sign Above","Teken Boven"
"Name: ","Naam:"
"Clear","Duidelijk"
"Name","Naam"
"Signed on","ondertekend op"
"Sign Rental Contract","Ondertekenen huurcontract"
"Save","Save"
"Cancel","Annuleer"
"Please provide signature first.","Gelieve handtekening eerste."
"Please type in your name below the signature field to confirm agreement.","Vul uw naam onder het veld handtekening aan akkoord te bevestigen."
"Rental Contracts","huurcontracten"
"Rental Contract Title","Huurcontract Titel"
"Terms and conditions to include in rental contract","Algemene voorwaarden in huurcontract op te nemen"
"Custom header text to include in the contract","Aangepaste koptekst in het contract omvatten"
"Custom footer text to include in the contract","Aangepaste voettekst in het contract omvatten"
"Show rental contract signing and attach contract even if order contains no rental products?","Toon huurcontract ondertekening en bevestig contract zelfs als order bevat geen huur producten?"
"Include list of items in the contract","Inclusief lijst met items in het contract"
"Include manual hard copy signature field","Inclusief handleiding hard copy handtekening veld"
"Show rental contract link and enable digital signatures in customer view order area","Toon huurcontract koppeling en maken van digitale handtekeningen in customer view orde area"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Dit zal laten zien in de mijn bestellingen gebied een link &quot;huurcontract&quot; waarmee klanten een huurcontract te downloaden en te ondertekenen digitaal met behulp van de muis of touchscreen"
"Require rental contract signature for checkout","Vereisen huurcontract signatuur voor de kassa"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Dit wordt weergegeven op de kassa herzien een handtekening veld en de klant behoeft te tekenen om verder te gaan en plaats de bestelling"
"Attach Contract PDF to order emails?","Hechten Contract PDF om e-mail te bestellen?"
