"Rental contract has already been signed on  %1. You may update the signature below.","임대 계약은 이미 % 1에 서명했습니다. 아래 서명을 업데이트 할 수 있습니다."
"Signature has been saved to the rental contract","서명은 임대 계약에 저장된"
"Sign Contract","로그인 계약"
"View Contract","보기 계약"
"Client First Name","클라이언트 먼저 이름"
"Client Last Name","클라이언트 성"
"Name:","이름:"
"Signed on:","에 서명 :"
"Rental Contract","임대 계약"
"By signing below you are agreeing to the terms of the Rental Contract.","당신이 아래에 서명함으로써, 임대 계약의 조건에 동의하는 것입니다."
"Sign Above","위의 가입"
"Name: ","이름:"
"Clear","명확한"
"Name","이름"
"Signed on","에 서명"
"Sign Rental Contract","임대 계약에 서명"
"Save","구하다"
"Cancel","취소하다"
"Please provide signature first.","첫 번째 서명을 입력하세요."
"Please type in your name below the signature field to confirm agreement.","계약을 확인하기 위해 서명 필드 아래에 이름을 입력하세요."
"Rental Contracts","임대 계약"
"Rental Contract Title","임대 계약 제목"
"Terms and conditions to include in rental contract","약관과 조건은 임대 계약에 포함 할"
"Custom header text to include in the contract","사용자 정의 헤더 텍스트는 계약에 포함 할"
"Custom footer text to include in the contract","사용자 정의 바닥 글 텍스트는 계약에 포함 할"
"Show rental contract signing and attach contract even if order contains no rental products?","임대 계약 체결을 보여주고 순서는 임대 제품을 포함하지 않는 경우에도 계약을 첨부?"
"Include list of items in the contract","계약에있는 항목의 목록을 포함"
"Include manual hard copy signature field","수동 하드 카피 서명 필드 포함"
"Show rental contract link and enable digital signatures in customer view order area","임대 계약 링크를 표시하고 고객보기 위해 영역에서 디지털 서명을 사용하도록 설정"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","이것은 내 주문 영역에서 링크 디지털 자신의 마우스 나 터치 스크린을 사용하는 고객은 임대 계약을 다운로드하고 서명 할 수 있습니다 &quot;대여 계약&quot;을 표시합니다"
"Require rental contract signature for checkout","체크 아웃에 대한 임대 계약 서명 필요"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","이것은 서명 필드를 검토 체크 아웃에 표시되고 고객은 계속하고 주문을 서명 필요"
"Attach Contract PDF to order emails?","이메일을 주문 계약 PDF를 첨부?"
