"Rental contract has already been signed on  %1. You may update the signature below.","Contractul de închiriere a fost deja semnat% 1. Puteți actualiza semnătura de mai jos."
"Signature has been saved to the rental contract","Semnătură a fost salvată în contractul de închiriere"
"Sign Contract","Contract conectare"
"View Contract","Vizualizare contract"
"Client First Name","Primul client Nume"
"Client Last Name","Nume client Ultimul"
"Name:","Nume:"
"Signed on:","Semnat la data de:"
"Rental Contract","Contract de inchiriere"
"By signing below you are agreeing to the terms of the Rental Contract.","Conectându de mai jos, sunteți de acord cu termenii contractului de inchiriere."
"Sign Above","Mai sus Înregistrează"
"Name: ","Nume:"
"Clear","clar"
"Name","Nume"
"Signed on","semnat la"
"Sign Rental Contract","Înregistrează Contractul de închiriere"
"Save","Salvați"
"Cancel","Anulare"
"Please provide signature first.","Vă rugăm să furnizați prima semnătură."
"Please type in your name below the signature field to confirm agreement.","Vă rugăm să introduceți numele dvs. de mai jos câmpul de semnătură pentru a confirma acord."
"Rental Contracts","Contracte de închiriere"
"Rental Contract Title","Închiriere Titlu contract"
"Terms and conditions to include in rental contract","Termeni și condiții pentru a include în contractul de închiriere"
"Custom header text to include in the contract","Text antet personalizat pentru a include în contract"
"Custom footer text to include in the contract","Text subsol personalizat pentru a include în contract"
"Show rental contract signing and attach contract even if order contains no rental products?","Afișați semnarea contractului de închiriere și atașați de contract, chiar dacă comanda nu conține produse de închiriere?"
"Include list of items in the contract","Includeți lista de elemente din contract"
"Include manual hard copy signature field","Includeți câmpul manual semnătură suport de hârtie"
"Show rental contract link and enable digital signatures in customer view order area","Afișați link-ul de contract de închiriere și de a activa semnăturile digitale în vederea de client zona comandă"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Acest lucru se va arăta în zona mea ordinele de un link &quot;contract de închiriere&quot;, care permite clienților să descarce un contract de închiriere și de a semna digital folosind mouse-ul sau ecranul tactil lor"
"Require rental contract signature for checkout","Solicite semnarea contractului de închiriere pentru finalizarea comenzii"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Acest lucru se va afișa pe un câmp de revizuire checkout semnătură și este necesar pentru clienți să semneze pentru a continua și de a plasa comanda"
"Attach Contract PDF to order emails?","Atașați contract PDF la comanda email-uri?"
