"Rental contract has already been signed on  %1. You may update the signature below.","Contrato de alquiler ya se ha firmado el 1%. Es posible actualizar la firma a continuación."
"Signature has been saved to the rental contract","Firma se ha guardado en el contrato de alquiler"
"Sign Contract","Firmar contrato"
"View Contract","Ver Contrato"
"Client First Name","Nombre del cliente"
"Client Last Name","Cliente Apellido"
"Name:","Nombre:"
"Signed on:","Firmado:"
"Rental Contract","Contrato de renta"
"By signing below you are agreeing to the terms of the Rental Contract.","Al firmar a continuación, usted acepta los términos del contrato de alquiler."
"Sign Above","Por encima de firmar"
"Name: ","Nombre:"
"Clear","Claro"
"Name","Nombre"
"Signed on","Firmado"
"Sign Rental Contract","Firmar contrato de alquiler"
"Save","Salvar"
"Cancel","Cancelar"
"Please provide signature first.","Por favor proporcione la firma en primer lugar."
"Please type in your name below the signature field to confirm agreement.","Por favor, introduzca su nombre de debajo del campo de firma de confirmar el acuerdo."
"Rental Contracts","Los contratos de alquiler"
"Rental Contract Title","Título del contrato de alquiler"
"Terms and conditions to include in rental contract","Términos y condiciones que se incluyen en el contrato de alquiler"
"Custom header text to include in the contract","texto de cabecera personalizada para incluir en el contrato"
"Custom footer text to include in the contract","Texto del pie de página personalizado para incluir en el contrato"
"Show rental contract signing and attach contract even if order contains no rental products?","Mostrar la firma del contrato de alquiler y adjuntar contrato, incluso si la orden no contiene productos de alquiler?"
"Include list of items in the contract","lista de elementos en el contrato incluirá"
"Include manual hard copy signature field","Incluir campo de firma en papel manual de"
"Show rental contract link and enable digital signatures in customer view order area","Mostrar alquiler de enlace de contrato y permitir a las firmas digitales en vista de la zona de pedidos de clientes"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Esto mostrará en el área de mi órdenes de un enlace &quot;Contrato de Alquiler&quot; que permite a los clientes descargar un contrato de alquiler y firmar digitalmente usando su ratón o pantalla táctil"
"Require rental contract signature for checkout","Requerirá la firma del contrato de alquiler de pago y envío"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Esto mostrará en la salida revisar un campo de firma y se le exige al cliente que firme para continuar y hacer el pedido"
"Attach Contract PDF to order emails?","Adjuntar PDF Contrato para ordenar los correos electrónicos?"
