"Rental contract has already been signed on  %1. You may update the signature below.","Hợp đồng cho thuê đã được ký kết vào ngày% 1. Bạn có thể cập nhật chữ ký bên dưới."
"Signature has been saved to the rental contract","Chữ ký đã được lưu vào các hợp đồng cho thuê"
"Sign Contract","Ký hợp đồng"
"View Contract","Xem hợp đồng"
"Client First Name","Khách hàng Tên"
"Client Last Name","Khách hàng Tên cuối"
"Name:","Tên:"
"Signed on:","Ký ngày:"
"Rental Contract","Hợp đồng cho thuê"
"By signing below you are agreeing to the terms of the Rental Contract.","Bằng việc ký tên dưới đây, bạn đồng ý với các điều khoản của hợp đồng cho thuê."
"Sign Above","Đăng Trên"
"Name: ","Tên:"
"Clear","Trong sáng"
"Name","Tên"
"Signed on","ký ngày"
"Sign Rental Contract","Đăng Hợp đồng cho thuê"
"Save","Tiết kiệm"
"Cancel","hủy bỏ"
"Please provide signature first.","Vui lòng cung cấp chữ ký đầu tiên."
"Please type in your name below the signature field to confirm agreement.","Xin vui lòng nhập tên của bạn bên dưới trường chữ ký để xác nhận thỏa thuận."
"Rental Contracts","Hợp đồng cho thuê"
"Rental Contract Title","Cho thuê Hợp đồng Tiêu đề"
"Terms and conditions to include in rental contract","Điều khoản và điều kiện để bao gồm trong hợp đồng cho thuê"
"Custom header text to include in the contract","văn bản tiêu đề tùy chỉnh để bao gồm trong hợp đồng"
"Custom footer text to include in the contract","văn bản Chân trang tùy chỉnh để bao gồm trong hợp đồng"
"Show rental contract signing and attach contract even if order contains no rental products?","Hiện ký hợp đồng cho thuê và đính kèm hợp đồng ngay cả khi thứ tự không chứa cho thuê các sản phẩm?"
"Include list of items in the contract","Bao gồm danh sách các mục trong hợp đồng"
"Include manual hard copy signature field","Bao gồm các nhãn hiệu lĩnh vực chữ ký sao cứng"
"Show rental contract link and enable digital signatures in customer view order area","Hiển thị liên kết hợp đồng cho thuê và cho phép chữ ký số trong khu vực xem đơn đặt hàng"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Điều này sẽ hiển thị trong khu vực đơn đặt hàng của tôi một liên kết &quot;cho thuê hợp đồng&quot; cho phép khách hàng tải về một hợp đồng cho thuê và ký kỹ thuật số sử dụng chuột hoặc màn hình cảm ứng của họ"
"Require rental contract signature for checkout","Yêu cầu ký hợp đồng cho thuê thanh toán"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Điều này sẽ hiển thị trên thanh toán xem xét một lĩnh vực chữ ký và khách hàng phải đăng ký để tham gia thảo luận và đặt thứ tự"
"Attach Contract PDF to order emails?","Đính kèm hợp đồng PDF để đặt hàng email?"
