"Rental contract has already been signed on  %1. You may update the signature below.","Договір оренди вже підписаний на 1%. Ви можете оновити підпис нижче."
"Signature has been saved to the rental contract","Підпис була збережена в договорі оренди"
"Sign Contract","договір Ввійти"
"View Contract","Перегляд контракту"
"Client First Name","клієнт Ім&#39;я"
"Client Last Name","клієнт Прізвище"
"Name:","ім&#39;я:"
"Signed on:","Підписано:"
"Rental Contract","договір оренди"
"By signing below you are agreeing to the terms of the Rental Contract.","Підписуючи нижче, ви погоджуєтеся з умовами договору оренди."
"Sign Above","вивіска над"
"Name: ","ім&#39;я:"
"Clear","ясно"
"Name","ім&#39;я"
"Signed on","Підписано"
"Sign Rental Contract","Ввійти Договір оренди майна"
"Save","зберегти"
"Cancel","скасувати"
"Please provide signature first.","Надішліть листа з вказівкою підпис першим."
"Please type in your name below the signature field to confirm agreement.","Будь ласка, введіть ваше ім&#39;я нижче поля підпису, щоб підтвердити свою згоду."
"Rental Contracts","договори оренди"
"Rental Contract Title","Договір оренди Назва"
"Terms and conditions to include in rental contract","Терміни та умови включити в договір оренди"
"Custom header text to include in the contract","Власним текстом заголовка включити в контракт"
"Custom footer text to include in the contract","Власним текстом колонтитула включити в контракт"
"Show rental contract signing and attach contract even if order contains no rental products?","Показати підписання договору оренди та докласти договір, навіть якщо замовлення не містить продуктів на оренду?"
"Include list of items in the contract","Включити список пунктів в контракті"
"Include manual hard copy signature field","Увімкніть ручної важко копіювати поле підпису"
"Show rental contract link and enable digital signatures in customer view order area","Показати посилання оренди договір і включити цифрові підписи в клієнтської області ЗАМОВИТИ"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Це покаже в області мої замовлення посилання &quot;Договір оренди&quot;, що дозволяє клієнтам скачати договір оренди і підписати його в цифровому вигляді, використовуючи їх миші або сенсорного екрану"
"Require rental contract signature for checkout","Вимагати договір оренди підписи для перевірки"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Це покаже на касі огляд поля підпису і клієнт повинен підписати, щоб продовжити і розмістити замовлення"
"Attach Contract PDF to order emails?","Докласти договору PDF замовити електронну пошту?"
