"Rental contract has already been signed on  %1. You may update the signature below.","Najam ugovor je već potpisan% 1. Možete ažurirati potpis ispod."
"Signature has been saved to the rental contract","Potpis je spremljena na ugovora o najmu"
"Sign Contract","Ugovor Prijavite"
"View Contract","Pregled ugovora"
"Client First Name","Klijent Ime"
"Client Last Name","Klijent prezime"
"Name:","Ime:"
"Signed on:","Potpisali u:"
"Rental Contract","ugovor o najmu"
"By signing below you are agreeing to the terms of the Rental Contract.","Potpisivanjem nastavku pristajete na uvjete ugovora o najmu."
"Sign Above","Prijavite Iznad"
"Name: ","Ime:"
"Clear","Čisto"
"Name","Ime"
"Signed on","potpisali u"
"Sign Rental Contract","Prijavite se ugovor o najmu"
"Save","Uštedjeti"
"Cancel","Otkazati"
"Please provide signature first.","Molimo Vas da potpis na prvom mjestu."
"Please type in your name below the signature field to confirm agreement.","Molimo upišite svoje ime ispod polja za potpis kako bi potvrdili dogovor."
"Rental Contracts","ugovora o najmu"
"Rental Contract Title","Iznajmljivanje Naslov ugovora"
"Terms and conditions to include in rental contract","Opći uvjeti uključiti u najam ugovora"
"Custom header text to include in the contract","Prilagođeni tekst zaglavlja uključiti u ugovor"
"Custom footer text to include in the contract","Prilagođeni tekst podnožja uključiti u ugovor"
"Show rental contract signing and attach contract even if order contains no rental products?","Prikaži najam potpisivanja ugovora i priložiti ugovor, čak i ako nalog ne sadrži najam proizvode?"
"Include list of items in the contract","Uključi popis stavki u ugovoru"
"Include manual hard copy signature field","Uključi ručno hard copy polje za potpis"
"Show rental contract link and enable digital signatures in customer view order area","Pokaži ugovor o najmu vezu i omogućiti digitalnih potpisa u korisničku pogled reda području"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","To će pokazati u mom nalogu području link &quot;ugovor o najmu&quot; koji omogućava korisnicima da preuzimanje ugovora o najmu i potpisati ga digitalno koristeći njihove miša ili zaslona osjetljivog na dodir"
"Require rental contract signature for checkout","Zahtijevaju najam potpisivanja ugovora za odlazak"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","To će pokazati na blagajni pregledati polje za potpis i gost je dužan prijaviti se nastaviti i mjesto poretka"
"Attach Contract PDF to order emails?","Pričvrstite ugovora PDF naručiti e-mail?"
