"Rental contract has already been signed on  %1. You may update the signature below.","Договор аренды уже подписан на 1%. Вы можете обновить подпись ниже."
"Signature has been saved to the rental contract","Подпись была сохранена в договоре аренды"
"Sign Contract","Подписать контракт"
"View Contract","Просмотр контракта"
"Client First Name","Клиент Имя"
"Client Last Name","Клиент Фамилия"
"Name:","Имя:"
"Signed on:","Подписано:"
"Rental Contract","Договор аренды"
"By signing below you are agreeing to the terms of the Rental Contract.","Подписывая ниже, вы соглашаетесь с условиями договора аренды."
"Sign Above","Вывеска над"
"Name: ","Имя:"
"Clear","Очистить"
"Name","имя"
"Signed on","Подписано"
"Sign Rental Contract","Войти Договор аренды имущества"
"Save","Сохранить"
"Cancel","Отмена"
"Please provide signature first.","Просьба представить подпись первым."
"Please type in your name below the signature field to confirm agreement.","Пожалуйста, введите ваше имя ниже поля подписи, чтобы подтвердить свое согласие."
"Rental Contracts","Договоры аренды"
"Rental Contract Title","Договор аренды Название"
"Terms and conditions to include in rental contract","Сроки и условия включить в договор аренды"
"Custom header text to include in the contract","Пользовательский текст заголовка включить в контракт"
"Custom footer text to include in the contract","Пользовательский текст колонтитула включить в контракт"
"Show rental contract signing and attach contract even if order contains no rental products?","Показать подписания договора аренды и приложить договор, даже если заказ не содержит продуктов на аренду?"
"Include list of items in the contract","Включить список пунктов в контракте"
"Include manual hard copy signature field","Включите ручной трудно копировать поле подписи"
"Show rental contract link and enable digital signatures in customer view order area","Показать ссылку аренды договор и включить цифровые подписи в клиентской области ЗАКАЗАТЬ"
"This will show in the my orders area a link "Rental Contract" that allows customers to download a rental contract and sign it digitally using their mouse or touchscreen","Это покажет в области мои заказы ссылку &quot;Договор аренды&quot;, что позволяет клиентам скачать договор аренды и подписать его в цифровом виде, используя их мыши или сенсорного экрана"
"Require rental contract signature for checkout","Требовать договор аренды подписи для проверки"
"This will show on checkout review a signature field and customer is required to sign to proceed and place the order","Это покажет на кассе обзор поля подписи и клиент должен подписать, чтобы продолжить и разместить заказ"
"Attach Contract PDF to order emails?","Приложить договора PDF заказать электронную почту?"
